"spkid","full_name","pha","epoch","e","a","i","om","w","ma","per"
20008034,"  8034 Akka (1992 LR)",N,2460600.5,0.4090,1.83,2.02,232.82,68.19,5.05,904
20008035,"  8035 (1992 TB)",N,2460600.5,0.4624,1.342,28.30,185.61,6.12,13.70,568
20008037,"  8037 (1993 HO1)",N,2460600.5,0.4174,1.987,5.91,22.38,105.73,131.38,1.02e+03
20008176,"  8176 (1991 WA)",N,2460600.5,0.6432,1.575,39.59,66.51,241.88,260.84,722
20008201,"  8201 (1994 AH2)",N,2460600.5,0.7061,2.539,9.54,164.09,25.13,199.52,1.48e+03
20008507,"  8507 (1991 CB1)",N,2460600.5,0.5944,1.687,14.58,317.41,345.77,9.42,800
20008566,"  8566 (1996 EN)",Y,2460600.5,0.4302,1.506,37.97,164.12,125.13,90.11,675
20008567,"  8567 (1996 HW1)",N,2460600.5,0.4493,2.045,8.45,177.10,177.30,179.54,1.07e+03
20008709,"  8709 Kadlu (1994 JF1)",N,2460600.5,0.4925,2.526,3.53,118.97,153.85,182.31,1.47e+03
20009058,"  9058 (1992 JB)",N,2460600.5,0.3596,1.557,16.09,218.30,307.06,284.90,709
20009162,"  9162 Kwiila (1987 OA)",N,2460600.5,0.5956,1.497,9.01,179.99,235.83,77.31,669
20009172,"  9172 Abhramu (1989 OB)",N,2460600.5,0.5527,2.709,7.84,287.57,74.17,318.40,1.63e+03
20009202,"  9202 (1993 PB)",N,2460600.5,0.6078,1.424,40.80,315.89,212.36,225.05,621
20009400,"  9400 (1994 TW1)",N,2460600.5,0.5809,2.587,36.00,3.36,62.14,51.21,1.52e+03
20009856,"  9856 (1991 EE)",Y,2460600.5,0.6258,2.242,9.83,168.11,116.18,314.61,1.23e+03
20009950,"  9950 ESA (1990 VB)",N,2460600.5,0.5327,2.438,14.60,253.45,103.60,331.06,1.39e+03
20010115," 10115 (1992 SK)",Y,2460600.5,0.3250,1.249,15.32,8.89,233.69,84.54,510
20010145," 10145 (1994 CK1)",N,2460600.5,0.6326,1.901,4.55,328.38,27.45,348.39,957
20010150," 10150 (1994 PN)",N,2460600.5,0.5440,2.375,45.95,112.97,234.04,67.70,1.34e+03
20010165," 10165 (1995 BL2)",N,2460600.5,0.5037,1.235,23.90,312.42,348.46,91.71,501
20010302," 10302 (1989 ML)",N,2460600.5,0.1370,1.273,4.38,104.27,183.65,206.92,524
20010563," 10563 Izhdubar (1993 WD)",N,2460600.5,0.2662,1.007,63.47,56.56,132.20,106.82,369
20010636," 10636 (1998 QK56)",N,2460600.5,0.5129,1.884,13.58,172.93,286.31,359.24,945
20010860," 10860 (1995 LE)",N,2460600.5,0.5740,2.578,4.15,257.19,75.53,16.39,1.51e+03
20011054," 11054 (1991 FA)",N,2460600.5,0.4467,1.979,3.08,339.05,92.34,74.07,1.02e+03
20011066," 11066 Sigurd (1992 CC1)",N,2460600.5,0.3754,1.392,36.88,349.22,22.03,75.15,600
20011284," 11284 Belenus (1990 BA)",N,2460600.5,0.3373,1.74,1.99,311.71,171.13,44.40,838
20011311," 11311 Peleus (1993 XN2)",N,2460600.5,0.5359,2.117,25.49,59.32,313.45,26.51,1.13e+03
20011398," 11398 (1998 YP11)",N,2460600.5,0.3895,1.721,15.02,144.74,74.76,107.00,824
20011405," 11405 (1999 CV3)",N,2460600.5,0.3939,1.46,22.86,141.25,96.40,153.90,644
20011500," 11500 Tomaiyowit (1989 UR)",Y,2460600.5,0.3558,1.08,10.31,234.39,289.52,323.61,410
20011885," 11885 Summanus (1990 SS)",N,2460600.5,0.4744,1.703,19.43,359.78,116.20,59.35,812
20012538," 12538 (1998 OH)",Y,2460600.5,0.4058,1.542,24.54,220.69,321.79,317.04,699
20012711," 12711 Tukmit (1991 BB)",N,2460600.5,0.2722,1.186,38.49,294.96,322.88,291.28,472
20012923," 12923 Zephyr (1999 GK4)",Y,2460600.5,0.4918,1.963,5.30,168.17,147.13,51.56,1e+03
20013553," 13553 Masaakikoyama (1992 JE)",N,2460600.5,0.4637,2.189,5.88,193.46,109.95,333.19,1.18e+03
20013651," 13651 (1997 BR)",Y,2460600.5,0.3057,1.335,17.25,116.63,133.86,262.62,564
20014402," 14402 (1991 DB)",N,2460600.5,0.4016,1.715,11.41,158.14,51.55,325.50,820
20014827," 14827 Hypnos (1986 JK)",Y,2460600.5,0.6649,2.841,1.98,57.93,238.19,21.63,1.75e+03
20015745," 15745 Yuliya (1991 PM5)",N,2460600.5,0.2555,1.72,14.43,132.58,140.66,284.35,824
20015817," 15817 Lucianotesi (1994 QC)",N,2460600.5,0.1182,1.324,13.87,162.47,94.29,340.12,557
20016064," 16064 Davidharvey (1999 RH27)",N,2460600.5,0.5894,2.849,4.54,335.55,104.75,43.97,1.76e+03
20016636," 16636 (1993 QP)",N,2460600.5,0.4677,2.31,7.21,296.77,47.38,314.66,1.28e+03
20016657," 16657 (1993 UB)",N,2460600.5,0.4608,2.277,24.95,31.19,21.30,356.33,1.26e+03
20016816," 16816 (1997 UF9)",N,2460600.5,0.6038,1.442,25.92,37.14,158.01,95.46,633
20016834," 16834 (1997 WU22)",N,2460600.5,0.4421,1.468,16.00,260.76,334.39,247.48,650
20016912," 16912 Rhiannon (1998 EP8)",N,2460600.5,0.2726,1.751,24.52,169.17,221.25,284.67,847
20016960," 16960 (1998 QS52)",Y,2460600.5,0.8590,2.201,17.52,260.15,243.25,308.68,1.19e+03
20017181," 17181 (1999 UM3)",N,2460600.5,0.6740,2.37,10.65,113.56,36.78,275.92,1.33e+03
20017182," 17182 (1999 VU)",N,2460600.5,0.5533,1.387,9.26,333.48,203.23,25.70,597
20017188," 17188 (1999 WC2)",N,2460600.5,0.6369,2.216,29.45,269.76,287.25,172.44,1.2e+03
