"spkid","full_name","epoch","e","a","i","om","w","ma","per"
20141053,"141053 (2001 XT1)",2460600.5,0.5795,1.528,2.73,316.21,31.39,67.95,690
20141432,"141432 (2002 CQ11)",2460600.5,0.4275,0.9762,2.47,81.34,272.65,241.70,352
20141495,"141495 (2002 EZ11)",2460600.5,0.8021,1.114,2.35,51.88,317.78,194.78,429
20141525,"141525 (2002 FV5)",2460600.5,0.7245,1.087,34.04,38.84,308.11,251.11,414
20141527,"141527 (2002 FG7)",2460600.5,0.6268,1.513,9.20,187.48,247.69,82.57,680
20141593,"141593 (2002 HK12)",2460600.5,0.5287,2.002,2.35,306.98,2.25,301.23,1.03e+03
20141614,"141614 (2002 JV15)",2460600.5,0.5361,1.624,7.19,200.62,127.39,269.02,756
20141851,"141851 (2002 PM6)",2460600.5,0.8501,1.198,19.13,304.00,224.53,11.09,479
20143404,"143404 (2003 BD44)",2460600.5,0.6075,1.968,2.66,181.18,89.36,242.26,1.01e+03
20143487,"143487 (2003 CR20)",2460600.5,0.7301,2.124,4.99,177.06,88.83,329.95,1.13e+03
20143624,"143624 (2003 HM16)",2460600.5,0.5773,1.967,35.54,195.84,47.18,262.55,1.01e+03
20143649,"143649 (2003 QQ47)",2460600.5,0.1870,1.085,62.10,0.99,104.96,174.10,413
20143651,"143651 (2003 QO104)",2460600.5,0.5262,2.133,11.62,58.17,183.60,335.50,1.14e+03
20143992,"143992 (2004 AF)",2460600.5,0.5538,1.971,27.13,315.62,57.98,205.38,1.01e+03
20144332,"144332 (2004 DV24)",2460600.5,0.2898,1.423,55.89,171.13,186.41,206.42,620
20144898,"144898 (2004 VD17)",2460600.5,0.5886,1.508,4.22,223.98,90.98,306.24,676
20144900,"144900 (2004 VG64)",2460600.5,0.6557,0.9683,36.25,208.85,43.93,29.68,348
20152560,"152560 (1991 BN)",2460600.5,0.3979,1.443,3.45,268.81,80.99,256.49,633
20152561,"152561 (1991 RB)",2460600.5,0.4857,1.454,19.58,359.29,68.96,279.78,641
20152637,"152637 (1997 NC1)",2460600.5,0.2085,0.8649,16.72,96.46,16.59,115.84,294
20152664,"152664 (1998 FW4)",2460600.5,0.7143,2.525,3.42,353.60,85.47,264.00,1.47e+03
20152671,"152671 (1998 HL3)",2460600.5,0.3659,1.129,2.68,163.64,188.16,286.27,438
20152680,"152680 (1998 KJ9)",2460600.5,0.6396,1.448,10.93,98.54,260.12,16.67,636
20152685,"152685 (1998 MZ)",2460600.5,0.5729,1.346,0.15,122.28,39.24,349.07,571
20152754,"152754 (1999 GS6)",2460600.5,0.4974,1.191,2.02,314.42,134.97,283.40,475
20152770,"152770 (1999 RR28)",2460600.5,0.6542,1.879,7.14,178.16,284.58,231.90,940
20152828,"152828 (1999 VT25)",2460600.5,0.5231,1.162,5.15,221.94,319.24,253.70,458
20152978,"152978 (2000 GJ147)",2460600.5,0.2367,1.162,25.01,57.85,240.80,134.02,458
20153002,"153002 (2000 JG5)",2460600.5,0.7961,1.341,31.43,213.04,233.45,307.51,567
20153201,"153201 (2000 WO107)",2460600.5,0.7808,0.9111,7.77,69.20,213.75,219.51,318
20153220,"153220 (2000 YN29)",2460600.5,0.6683,2.542,6.23,64.22,142.59,288.37,1.48e+03
20153311,"153311 (2001 MG1)",2460600.5,0.6459,2.502,28.40,142.33,218.52,304.13,1.45e+03
20153591,"153591 (2001 SN263)",2460600.5,0.4799,1.988,6.69,325.72,173.04,343.42,1.02e+03
20153814,"153814 (2001 WN5)",2460600.5,0.4670,1.712,1.92,277.35,44.67,110.47,818
20153958,"153958 (2002 AM31)",2460600.5,0.4515,1.703,4.64,144.37,197.96,166.89,812
20154019,"154019 (2002 CZ9)",2460600.5,0.3601,1.325,4.97,142.84,80.88,264.53,557
20154269,"154269 (2002 SM)",2460600.5,0.4865,1.872,14.40,10.78,217.51,300.04,935
20154275,"154275 (2002 SR41)",2460600.5,0.4907,1.084,11.58,247.77,258.20,119.73,412
20154276,"154276 (2002 SY50)",2460600.5,0.6888,1.704,8.75,34.03,99.68,288.08,813
20154302,"154302 (2002 UQ3)",2460600.5,0.5615,1.72,28.83,222.70,280.97,230.42,824
20154330,"154330 (2002 VX94)",2460600.5,0.4086,1.477,7.16,320.06,215.23,353.41,655
20154590,"154590 (2003 MA3)",2460600.5,0.4022,1.105,1.42,152.67,228.88,56.99,424
20155338,"155338 (2006 MZ1)",2460600.5,0.4826,1.569,2.08,226.58,138.70,81.14,718
20159504,"159504 (2000 WO67)",2460600.5,0.6172,2.433,9.69,107.57,237.82,138.95,1.39e+03
20159857,"159857 (2004 LJ1)",2460600.5,0.5935,2.263,23.15,235.54,140.02,319.37,1.24e+03
20161989,"161989 Cacus (1978 CA)",2460600.5,0.2139,1.123,26.06,161.21,102.09,338.81,435
20162000,"162000 (1990 OS)",2460600.5,0.4624,1.678,1.09,346.51,21.59,239.67,794
20162039,"162039 (1996 JG)",2460600.5,0.6604,1.802,5.28,52.83,280.26,246.30,883
20162082,"162082 (1998 HL1)",2460600.5,0.1870,1.246,20.05,213.53,148.66,228.22,508
20162116,"162116 (1998 SA15)",2460600.5,0.5585,1.916,7.11,114.17,331.44,267.66,969
20162120,"162120 (1998 SH36)",2460600.5,0.5709,1.088,2.13,217.82,278.85,279.53,414
20162162,"162162 (1999 DB7)",2460600.5,0.1949,1.206,10.84,157.59,29.93,110.33,484
20162173,"162173 Ryugu (1999 JU3)",2460600.5,0.1911,1.191,5.87,251.29,211.61,327.33,475
20162183,"162183 (1999 NB5)",2460600.5,0.5351,2.072,1.43,235.31,123.19,143.03,1.09e+03
20162210,"162210 (1999 SM5)",2460600.5,0.6950,2.306,5.19,327.62,319.31,82.39,1.28e+03
20162361,"162361 (2000 AF6)",2460600.5,0.4110,0.8758,2.71,109.86,201.27,188.82,299
20162416,"162416 (2000 EH26)",2460600.5,0.4780,1.855,0.40,215.25,19.22,243.90,923
20162421,"162421 (2000 ET70)",2460600.5,0.1238,0.9467,22.32,331.12,46.07,31.49,336
20162422,"162422 (2000 EV70)",2460600.5,0.5311,1.207,1.40,108.93,314.50,240.88,484
20162474,"162474 (2000 LB16)",2460600.5,0.3574,1.241,50.71,80.85,285.25,163.39,505
20162510,"162510 (2000 QW69)",2460600.5,0.3023,1.376,38.14,344.33,220.73,91.40,590
20162567,"162567 (2000 RW37)",2460600.5,0.2501,1.247,13.75,333.29,133.29,12.21,509
20162687,"162687 (2000 UH1)",2460600.5,0.5436,1.875,14.77,76.13,40.97,92.72,938
20162695,"162695 (2000 UL11)",2460600.5,0.6354,2.122,2.19,333.18,152.12,246.49,1.13e+03
20162783,"162783 (2000 YJ11)",2460600.5,0.2323,1.314,7.26,64.92,339.16,327.02,550
20162825,"162825 (2001 BO61)",2460600.5,0.7444,1.773,9.07,159.52,79.16,338.79,862
20162882,"162882 (2001 FD58)",2460600.5,0.5752,1.092,6.50,341.15,46.02,348.46,417
20162922,"162922 (2001 OY13)",2460600.5,0.3820,1.319,10.30,284.18,291.31,174.17,553
20162979,"162979 (2001 RA12)",2460600.5,0.5441,2.037,17.09,311.58,326.05,359.93,1.06e+03
20162998,"162998 (2001 SK162)",2460600.5,0.4743,1.926,1.68,285.29,186.45,181.51,976
20163014,"163014 (2001 UA5)",2460600.5,0.4456,1.787,9.94,58.62,27.68,207.87,873
20163026,"163026 (2001 XR30)",2460600.5,0.3652,1.297,11.86,247.85,294.50,106.07,540
20163051,"163051 (2001 YJ4)",2460600.5,0.5676,2.274,9.29,247.77,322.44,208.69,1.25e+03
20163067,"163067 (2002 AP3)",2460600.5,0.5862,2.046,7.61,87.30,117.82,254.83,1.07e+03
20163132,"163132 (2002 CU11)",2460600.5,0.2952,1.22,48.78,157.74,110.53,229.17,492
20163243,"163243 (2002 FB3)",2460600.5,0.6016,0.7616,20.28,203.56,148.34,109.40,243
20163249,"163249 (2002 GT)",2460600.5,0.3347,1.344,6.97,201.73,135.14,59.89,569
20163348,"163348 (2002 NN4)",2460600.5,0.4345,0.8758,5.42,259.43,222.21,207.78,299
20163364,"163364 (2002 OD20)",2460600.5,0.3689,1.365,4.19,259.85,275.35,84.09,583
20163373,"163373 (2002 PZ39)",2460600.5,0.5465,1.469,1.67,328.77,260.13,196.11,651
20163683,"163683 (2002 YP2)",2460600.5,0.6881,1.577,20.63,52.46,281.41,31.53,724
20163697,"163697 (2003 EF54)",2460600.5,0.4728,1.609,2.95,268.45,353.79,176.37,746
20163818,"163818 (2003 RX7)",2460600.5,0.3545,1.229,10.39,241.01,245.91,68.68,498
20163899,"163899 (2003 SD220)",2460600.5,0.2100,0.8276,8.54,273.71,326.99,128.47,275
20164121,"164121 (2003 YT1)",2460600.5,0.2920,1.11,44.06,38.31,91.00,235.13,427
20164202,"164202 (2004 EW)",2460600.5,0.2791,0.988,4.67,342.90,56.21,79.77,359
20164207,"164207 (2004 GU9)",2460600.5,0.1359,1.001,13.65,38.41,279.48,63.63,366
20164211,"164211 (2004 JA27)",2460600.5,0.4233,1.666,2.26,67.76,270.22,128.89,786
20164216,"164216 (2004 OT11)",2460600.5,0.5651,2.153,19.99,294.89,326.60,167.15,1.15e+03
20164400,"164400 (2005 GN59)",2460600.5,0.4679,1.657,6.63,218.96,203.05,169.72,779
20168318,"168318 (1989 DA)",2460600.5,0.5417,2.162,6.49,349.07,139.82,83.00,1.16e+03
20170086,"170086 (2002 XR14)",2460600.5,0.6260,1.905,2.13,75.48,120.49,69.28,960
20170903,"170903 (2004 WS2)",2460600.5,0.6031,1.336,8.27,87.67,115.46,267.96,564
20171576,"171576 (1999 VP11)",2460600.5,0.5836,1.086,17.28,208.08,61.74,111.24,413
20171839,"171839 (2001 JM1)",2460600.5,0.3108,1.46,17.08,226.64,321.98,118.84,645
20172678,"172678 (2003 YM137)",2460600.5,0.7028,2.559,2.82,73.98,131.02,326.04,1.5e+03
20173561,"173561 (2000 YV137)",2460600.5,0.3109,1.448,28.00,137.22,211.38,330.30,636
20175706,"175706 (1996 FG3)",2460600.5,0.3501,1.055,1.97,299.50,24.06,32.72,396
20175729,"175729 (1998 BB10)",2460600.5,0.4246,1.271,11.54,124.27,259.25,280.61,524
20177049,"177049 (2003 EE16)",2460600.5,0.6143,1.418,0.65,127.23,259.50,5.13,617
20177614,"177614 (2004 HK33)",2460600.5,0.5204,1.889,5.44,104.70,221.54,294.36,948
20179806,"179806 (2002 TD66)",2460600.5,0.5347,1.858,4.93,335.53,125.88,220.46,925
20180186,"180186 (2003 QZ30)",2460600.5,0.6315,2.422,8.57,178.04,243.10,198.78,1.38e+03
20184266,"184266 (2004 VW14)",2460600.5,0.5977,2.121,3.83,100.83,42.78,140.17,1.13e+03
20185851,"185851 (2000 DP107)",2460600.5,0.3765,1.365,8.67,358.65,289.77,62.22,583
20186844,"186844 (2004 GA1)",2460600.5,0.6726,2.43,7.77,261.48,54.63,114.88,1.38e+03
20187040,"187040 (2005 JS108)",2460600.5,0.3222,1.355,6.04,110.84,244.00,28.42,576
20189040,"189040 (2000 MU1)",2460600.5,0.3825,1.372,13.09,130.03,63.78,84.71,587
20189865,"189865 (2003 NC)",2460600.5,0.8055,1.406,21.57,288.39,224.33,315.33,609
20192559,"192559 (1998 VO)",2460600.5,0.2266,1.075,10.06,228.12,75.97,182.11,407
20192563,"192563 (1998 WZ6)",2460600.5,0.4078,1.452,24.76,68.68,110.75,226.25,639
20194006,"194006 (2001 SG10)",2460600.5,0.4243,1.449,4.26,184.93,101.62,114.85,637
20194268,"194268 (2001 UY4)",2460600.5,0.7875,1.453,5.44,160.69,107.81,74.45,640
20196068,"196068 (2002 TW55)",2460600.5,0.6645,2.118,59.35,33.54,251.12,85.27,1.13e+03
20196625,"196625 (2003 RM10)",2460600.5,0.5917,1.848,13.72,341.17,287.44,166.92,917
20197588,"197588 (2004 HE12)",2460600.5,0.4659,1.845,42.71,338.03,162.22,69.47,916
20199003,"199003 (2005 WJ56)",2460600.5,0.1521,0.959,21.62,288.02,297.65,207.09,343
20199145,"199145 (2005 YY128)",2460600.5,0.7323,1.649,3.77,299.96,315.17,261.48,773
20199801,"199801 (2007 AE12)",2460600.5,0.5694,1.684,2.29,245.44,86.98,128.40,798
20200840,"200840 (2001 XN254)",2460600.5,0.5609,2.32,1.94,264.07,278.72,132.26,1.29e+03
20202683,"202683 (2006 US216)",2460600.5,0.5624,0.6371,3.44,193.26,56.42,257.35,186
20206378,"206378 (2003 RB)",2460600.5,0.4389,1.788,6.72,317.13,44.07,287.00,873
20206910,"206910 (2004 NL8)",2460600.5,0.7156,2.574,5.02,150.90,278.14,302.11,1.51e+03
20207398,"207398 (2006 AS2)",2460600.5,0.6419,2.091,2.60,125.63,80.07,49.89,1.1e+03
20207945,"207945 (1991 JW)",2460600.5,0.1186,1.039,8.71,53.85,301.95,92.10,387
20208023,"208023 (1999 AQ10)",2460600.5,0.2354,0.9338,6.50,326.97,300.57,33.11,330
20208115,"208115 (2000 CT101)",2460600.5,0.3547,1.299,23.30,135.55,292.43,278.65,541
20212546,"212546 (2006 SV19)",2460600.5,0.5152,2.133,7.35,116.20,182.55,317.31,1.14e+03
